library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
BATGA	0.9991580719848453	0.0	0.0	0.0008419280151547042	0.0	0.0	Blue	0.9991580719848453	4751
BATGC	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	4498
BATGG	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	536
BATGH	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	4503
BATGN	0.9812734082397003	0.0	0.0	0.018726591760299626	0.0	0.0	Blue	0.9812734082397003	534
BATGO	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	428
BATGP	0.003703703703703704	0.0	0.0	0.0	0.9962962962962963	0.0	Orange	0.9962962962962963	2700
BATGS	0.935546875	0.064453125	0.0	0.0	0.0	0.0	Blue	0.935546875	512
BATGU	0.9950938566552902	0.0	0.0	0.004906143344709898	0.0	0.0	Blue	0.9950938566552902	4688
BATGW	0.9953740949316171	0.0	0.0	0.004625905068382945	0.0	0.0	Blue	0.9953740949316171	4972
BATGY	0.09553398058252427	0.040388349514563104	0.0	0.0	0.8549514563106796	0.00912621359223301	Orange	0.8549514563106796	5150
BATGZ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5497
BATHA	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	4875
BATHB	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1841
BATHC	0.5049248315189218	0.1767755313634007	0.0	0.044582685329186106	0.2737169517884914	0.0	Blue	0.5049248315189218	1929
BATHG	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5176
BATHH	0.9852847088931542	0.0	0.0	0.01471529110684581	0.0	0.0	Blue	0.9852847088931542	1563
BATHN	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1954
BATHO	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	439
BATHP	0.9285428342674139	0.0	0.0	0.0020016012810248197	0.06945556445156124	0.0	Blue	0.9285428342674139	4996
BATHS	0.7309402795425667	0.03780177890724269	0.0	0.17534942820838628	0.05590851334180432	0.0	Blue	0.7309402795425667	3148
BATHT	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	500
BATHU	0.9910965323336457	0.006560449859418931	0.0	0.0	0.0023430178069353325	0.0	Blue	0.9910965323336457	6402
BATHW	0.9834710743801653	0.0	0.0	0.01652892561983471	0.0	0.0	Blue	0.9834710743801653	605
BATHX	0.9905490549054905	0.0	0.0	0.009450945094509451	0.0	0.0	Blue	0.9905490549054905	4444
BATHZ	0.8805518805518806	0.0	0.0	0.04233604233604234	0.07711207711207711	0.0	Blue	0.8805518805518806	5291
BATNA	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	500
BATNB	0.8162544169611308	0.0	0.0	0.0176678445229682	0.0	0.16607773851590105	Blue	0.8162544169611308	566
BATNC	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	534
BATNG	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	524
BATNH	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1407
BATNN	0.9954401268834259	0.0	0.0	0.004559873116574148	0.0	0.0	Blue	0.9954401268834259	5044
BATNO	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	4898
BATNP	0.01832172957127153	0.012092341517039208	0.0	0.0	0.9695859289116893	0.0	Orange	0.9695859289116893	2729
BATNT	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	4831
BATNU	0.5985592665356909	0.07596594629993451	0.0	0.31565160445317614	0.009823182711198428	0.0	Blue	0.5985592665356909	1527
BATNW	0.8629413400055602	0.0	0.0	0.0	0.1370586599944398	0.0	Blue	0.8629413400055602	3597
BATNX	0.9783773060900615	0.0	0.0	0.0077365602063082725	0.013886133703630232	0.0	Blue	0.9783773060900615	5041
BATNZ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	440
BATOA	0.9952587095444239	0.0	0.0	0.00474129045557617	0.0	0.0	Blue	0.9952587095444239	4851
BATOB	0.17775595384237663	0.0	0.0	0.8222440461576234	0.0	0.0	Green	0.8222440461576234	4073
BATOC	0.6915708812260536	0.05699233716475096	0.0	0.24090038314176246	0.01053639846743295	0.0	Blue	0.6915708812260536	2088
BATOG	0.9902849740932642	0.0	0.0	0.009715025906735751	0.0	0.0	Blue	0.9902849740932642	1544
BATOH	0.8230426479949077	0.0	0.0	0.10868873329089752	0.06826861871419478	0.0	Blue	0.8230426479949077	6284
BATON	0.9959776145505421	0.0	0.0	0.004022385449457853	0.0	0.0	Blue	0.9959776145505421	5718
BATOO	0.0	0.0	0.0	0.0	0.0	1.0	Purple	1.0	154
BATOP	0.9935675408213755	0.0	0.0	0.006432459178624443	0.0	0.0	Blue	0.9935675408213755	6063
BATOS	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1907
BATOT	0.9318600368324125	0.0	0.0	0.05156537753222836	0.016574585635359115	0.0	Blue	0.9318600368324125	543
BATOU	0.526829268292683	0.0	0.0	0.1505226480836237	0.3226480836236934	0.0	Blue	0.526829268292683	1435
BATOW	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	421
BATOX	0.9894964473277726	0.0	0.0	0.0	0.01050355267222737	0.0	Blue	0.9894964473277726	6474
BATOZ	0.003718854592785422	0.0	0.0	0.0	0.9962811454072146	0.0	Orange	0.9962811454072146	2689
BATPA	0.9984121943474119	0.0	0.0	0.0015878056525881232	0.0	0.0	Blue	0.9984121943474119	6298
BATPB	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1977
BATPC	0.16829745596868884	0.8317025440313112	0.0	0.0	0.0	0.0	Cyan	0.8317025440313112	511
BATPG	0.9932540957275939	0.0	0.0	0.006264053967234179	0.0004818503051718599	0.0	Blue	0.9932540957275939	6226
BATPH	0.9687623566627125	0.0	0.0	0.0039541320680110716	0.027283511269276393	0.0	Blue	0.9687623566627125	2529
BATPN	0.9941060903732809	0.0	0.0	0.0	0.005893909626719057	0.0	Blue	0.9941060903732809	509
BATPO	0.844056242011078	0.14273540690242864	0.0	0.013208351086493396	0.0	0.0	Blue	0.844056242011078	2347
BATPP	0.953131844064827	0.0	0.0	0.017082785808147174	0.029785370127025843	0.0	Blue	0.953131844064827	2283
BATPT	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	428
BATPU	0.8479056527043514	0.14802765351769012	0.0	0.004066693777958519	0.0	0.0	Blue	0.8479056527043514	2459
BATPW	0.9857863365428703	0.0	0.0	0.014213663457129757	0.0	0.0	Blue	0.9857863365428703	2181
BATPX	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	387
BATPY	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5267
BATSA	0.9968253968253968	0.0031746031746031746	0.0	0.0	0.0	0.0	Blue	0.9968253968253968	315
BATSB	0.8205128205128205	0.0	0.1794871794871795	0.0	0.0	0.0	Blue	0.8205128205128205	39
